topic_id,topic_title,topic_url,forum_name,actual_start_date,actual_year,date_confidence,character
7440247,discorsi strani e … cose così!,https://fengardgiocate.forumcommunity.net/?t=7440247,NECROMUNDA,2006-04-01,2006,medium,Maxi
7440247,discorsi strani e … cose così!,https://fengardgiocate.forumcommunity.net/?t=7440247,NECROMUNDA,2006-04-01,2006,medium,Mekylius
50734084,I Signori del caos l'hanno Voluto,https://fengardgiocate.forumcommunity.net/?t=50734084,NECROMUNDA,2006-04-01,2006,medium,Isil
50734084,I Signori del caos l'hanno Voluto,https://fengardgiocate.forumcommunity.net/?t=50734084,NECROMUNDA,2006-04-01,2006,medium,knives
50734084,I Signori del caos l'hanno Voluto,https://fengardgiocate.forumcommunity.net/?t=50734084,NECROMUNDA,2006-04-01,2006,medium,Maxi
50734084,I Signori del caos l'hanno Voluto,https://fengardgiocate.forumcommunity.net/?t=50734084,NECROMUNDA,2006-04-01,2006,medium,Mekylius
54695411,Di sfuggita in Arena,https://fengardgiocate.forumcommunity.net/?t=54695411,FENGARD,2006-04-03,2006,high,Ariel
54695411,Di sfuggita in Arena,https://fengardgiocate.forumcommunity.net/?t=54695411,FENGARD,2006-04-03,2006,high,Fefalas
54695411,Di sfuggita in Arena,https://fengardgiocate.forumcommunity.net/?t=54695411,FENGARD,2006-04-03,2006,high,Jedhal
54695411,Di sfuggita in Arena,https://fengardgiocate.forumcommunity.net/?t=54695411,FENGARD,2006-04-03,2006,high,merlinho
54695411,Di sfuggita in Arena,https://fengardgiocate.forumcommunity.net/?t=54695411,FENGARD,2006-04-03,2006,high,Shimal
54695411,Di sfuggita in Arena,https://fengardgiocate.forumcommunity.net/?t=54695411,FENGARD,2006-04-03,2006,high,Valen
5993565,Il primo incontro di Shimal e Merlinho,https://fengardgiocate.forumcommunity.net/?t=5993565,FENGARD,2006-04-03,2006,high,Farfa
5993565,Il primo incontro di Shimal e Merlinho,https://fengardgiocate.forumcommunity.net/?t=5993565,FENGARD,2006-04-03,2006,high,Kerixon
5993565,Il primo incontro di Shimal e Merlinho,https://fengardgiocate.forumcommunity.net/?t=5993565,FENGARD,2006-04-03,2006,high,merlinho
5993565,Il primo incontro di Shimal e Merlinho,https://fengardgiocate.forumcommunity.net/?t=5993565,FENGARD,2006-04-03,2006,high,Shimal
5993565,Il primo incontro di Shimal e Merlinho,https://fengardgiocate.forumcommunity.net/?t=5993565,FENGARD,2006-04-03,2006,high,Valen
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,Ariel
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,Dileandro
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,Fefalas
56958360,Quell'elfo ha qualcosa di..,https://fengardgiocate.forumcommunity.net/?t=56958360,FENGARD,2006-04-03,2006,high,Jedhal
